,brand,year,month,channel,sales_qty,demand,orders,discount,AOS,UPT,AUR,discount_LY,AOS_LY,UPT_LY,orders_LY,demand_LY,AUR_LY,discount_YoY,traffic,traffic_YoY,traffic_LY,AOS_YoY,UPT_YoY,AUR_YoY,orders_YoY,demand_YoY,conversion,conversion_LY,conversion_YoY,date
73,GAP,2024,9,ONL,4266870,9523125,1116952,51.8757292,85.259926,3.82010149,22.318759,49.7473691,70.988625,3.123670714,1168296,82935726.15,22.726027,2.1283601,41530500,-0.041808793,41704863,14.271301,2.229526864,-0.407268,-0.439477667,1.4825359,2.689474001,2.801342376,-0.111868375,9/1/2024
74,GAP,2024,10,ONL,3720756,8867035,1367402,52.988575,64.845855,2.721040338,23.831273,49.8772331,84.66215,3.436325532,1193359,101032338.7,24.637407,3.1113419,48229230,1.563107789,41709574,-19.816295,-2.081540841,-0.806134,1.458429525,-1.2235674,2.835214247,2.861115292,-0.025901046,10/1/2024
75,GAP,2024,11,ONL,5522816,11581475,1705501,53.3409304,67.906588,3.238236741,20.970236,54.3335175,71.520673,3.451160642,1958830,140096840.7,20.723658,-0.9925871,56165663,0.242920582,54833641,-3.614085,-0.61696317,0.246578,-1.293266899,-1.7332358,3.036554558,3.572314302,-0.535759744,11/1/2024
76,GAP,2024,12,ONL,4279961,8666435,1477567,52.2367738,58.653418,2.896627361,20.248866,54.2733299,47.901209,2.453235765,1198063,57388665.96,19.525726,-2.0365561,48558073,1.497721746,42232778,10.752209,1.807374581,0.72314,2.332965796,5.1013015,3.042886401,2.836808415,0.206077987,12/1/2024
77,GAP,2025,1,ONL,2290738,4468742,887157,54.0853446,50.371493,2.582111171,19.507872,55.8337784,47.431718,2.516975876,819133,38852885.11,18.844725,-1.7484338,33521636,1.311807304,29634200,2.939775,0.258783947,0.663147,0.830439013,1.5017,2.646520593,2.764147505,-0.117626912,1/1/2025
78,GAP,2025,2,ONL,1966882,4639144,709075,49.7762306,65.425296,2.773870183,23.586286,50.7690363,66.693498,3.113129541,680397,45378055.65,21.423297,-0.9928057,30704326,1.33117658,27097209,-1.268202,-1.089769485,2.162989,0.421489219,0.2233208,2.309365136,2.510948637,-0.2015835,2/1/2025
79,GAP,2025,3,ONL,1434154,3415051,621543,49.4708652,54.944726,2.307409141,23.812303,52.4979439,73.077371,3.407064299,980253,71634312.52,21.44878,-3.0270787,23512660,-3.174958618,34450575,-18.132645,-3.227573831,2.363523,-3.65936141,-5.2326603,2.643439747,2.845389373,-0.201949626,3/1/2025
112,ON,2024,8,ONL,12418901,16934114,3270393,51.9274906,51.780058,3.797372671,13.635759,48.8089891,55.012695,3.675914095,3016370,165938642,14.965718,3.1185015,58023497,19.48253445,19680634,-3.232637,0.330417338,-1.329959,0.842148012,0.2050454,5.636325229,15.32658958,-9.690264352,8/1/2024
113,ON,2024,9,ONL,14975064,22837144,3124952,49.6513605,73.079982,4.792094087,15.250114,46.491463,56.674997,3.576726271,3351401,189940640.8,15.845495,3.1598975,58116638,0.147172722,57273725,16.404985,3.397989457,-0.595381,-0.675684587,2.0233056,5.377035058,5.851550602,-0.474515544,9/1/2024
114,ON,2024,10,ONL,21561410,30657332,4796358,52.6018301,63.917939,4.49537128,14.218612,50.4510802,72.507899,4.809347745,4783143,346815649,15.076452,2.1507499,80287943,0.862016656,73916240,-8.58996,-0.652846252,-0.85784,0.027628277,-1.1603378,5.973945552,6.471031265,-0.497085712,10/1/2024
115,ON,2024,11,ONL,24278158,32775279,5639761,55.7717183,58.114659,4.304820364,13.499903,54.8600316,56.977611,4.054313315,6055458,345025532.7,14.053579,0.9116867,90954793,0.393948397,87507451,1.137048,0.617877872,-0.553676,-0.686483169,-0.5006222,6.200619906,6.919934167,-0.719314261,11/1/2024
116,ON,2024,12,ONL,16815750,22054331,4100095,53.8616423,53.789806,4.101307409,13.115283,51.7415804,45.10328,3.325947588,3815503,172091699.9,13.561031,2.1200619,70341775,0.287575526,68375464,8.686526,2.331244856,-0.445748,0.745883308,2.8154533,5.828819361,5.580222461,0.2485969,12/1/2024
117,ON,2025,1,ONL,8867067,12220622,2470415,51.9732718,49.467891,3.589302607,13.782034,50.6960367,49.610585,3.366733734,2402566,119192704.4,14.735524,1.2772351,52338936,0.23193156,51152547,-0.142694,0.661082494,-0.95349,0.282402232,0.2528272,4.720032902,4.69686485,0.023168052,1/1/2025
118,ON,2025,2,ONL,9581327,13564537,2056478,49.3946966,65.96004,4.659095308,14.157264,50.7164251,63.596488,4.345228401,2363977,150340635,14.635937,-1.3217285,44166461,-0.525018466,46613770,2.363552,0.722325451,-0.478673,-1.300769847,-0.9774645,4.656198286,5.071413447,-0.415215161,2/1/2025
119,ON,2025,3,ONL,9872729,12151005,2377095,55.1195216,51.117036,4.153274901,12.307646,52.6121203,65.343433,4.973053118,4536035,296400099.6,13.1395,2.5074013,41470310,-4.018861402,69335143,-14.226397,-1.648440501,-0.831854,-4.759531176,-5.900472,5.732040585,6.542187416,-0.810146831,3/1/2025
